,mouse,area,session,win,Hit,FA,DP
261,VE078,PPC,2,Post,0.45454545454545453,0.07692307692307693,1.311891577951419
262,VE078,PPC,2,Control,0.7571428571428571,0.012658227848101266,2.933680891987192
263,VE078,PPC,2,Stim,0.5,0.0,inf
264,VE078,PPC,2,Pre,0.8181818181818182,0.07142857142857142,2.3736916612229084
265,VE078,PPC,3,Response,0.6923076923076923,0.0,inf
266,VE078,PPC,3,Post,0.7142857142857143,0.14285714285714285,1.6335193458110049
267,VE078,PPC,3,Control,0.6448598130841121,0.02727272727272727,2.2939590337549958
268,VE078,PPC,3,Stim,0.46153846153846156,0.15384615384615385,0.9235176174965626
269,VE078,PPC,3,Pre,0.5,0.0,inf
270,VE078,dCA1,1,Response,0.7,0.23076923076923078,1.2607164300841702
271,VE078,dCA1,1,Post,0.6,0.2,1.094968336708714
272,VE078,dCA1,1,Control,0.7674418604651163,0.10416666666666667,1.9886097380612626
273,VE078,dCA1,1,Stim,0.5454545454545454,0.2727272727272727,0.7187706409046654
274,VE078,dCA1,1,Pre,0.6363636363636364,0.0,inf
275,VE078,mPFC,1,Response,0.2,0.0,inf
276,VE078,mPFC,1,Post,0.08333333333333333,0.18181818181818182,-0.4745362585632533
277,VE078,mPFC,1,Control,0.675,0.0641025641025641,1.9749802365958136
278,VE078,mPFC,1,Stim,0.7,0.09090909090909091,1.8595782488269774
279,VE078,mPFC,1,Pre,0.625,0.0,inf
280,VE078,wM2,1,Response,0.42857142857142855,0.0,inf
281,VE078,wM2,1,Post,0.4444444444444444,0.125,1.0106390814941462
282,VE078,wM2,1,Control,0.6610169491525424,0.06666666666666667,1.916326106870096
283,VE078,wM2,1,Stim,0.6666666666666666,0.09090909090909091,1.7659050354143941
284,VE078,wM2,1,Pre,0.0,0.14285714285714285,-inf
285,VE078,wM2,2,Response,0.3333333333333333,0.0,inf
286,VE078,wM2,2,Post,0.25,0.125,0.4758596301799265
287,VE078,wM2,2,Control,0.6857142857142857,0.0821917808219178,1.874217257197201
288,VE078,wM2,2,Stim,0.5555555555555556,0.1,1.4212618644264627
289,VE078,wM2,2,Pre,0.8888888888888888,0.14285714285714285,2.2882108727254913
290,VE078,wM2,3,Response,0.4444444444444444,0.0,inf
291,VE078,wM2,3,Post,0.5384615384615384,0.14285714285714285,1.164129139167781
292,VE078,wM2,3,Control,0.6559139784946236,0.08108108108108109,1.7991735058548628
293,VE078,wM2,3,Stim,0.5714285714285714,0.3333333333333333,0.6107396690881626
294,VE078,wM2,3,Pre,0.5,0.3333333333333333,0.4307272992954576
295,VE078,ALM,1,Response,0.6666666666666666,0.0,inf
296,VE078,ALM,1,Post,0.5,0.1111111111111111,1.2206403488473498
297,VE078,ALM,1,Control,0.6785714285714286,0.10256410256410256,1.7307835027236236
298,VE078,ALM,1,Stim,0.5555555555555556,0.3333333333333333,0.5704375981773198
299,VE078,ALM,1,Pre,0.5714285714285714,0.1,1.4615639353373056
300,VE078,ALM,2,Response,0.2222222222222222,0.09090909090909091,0.5704680623325495
301,VE078,ALM,2,Post,0.5,0.09090909090909091,1.3351777361189368
302,VE078,ALM,2,Control,0.75,0.05813953488372093,2.2450747787635006
303,VE078,ALM,2,Stim,0.6363636363636364,0.2,1.190376929089959
304,VE078,ALM,2,Pre,0.8,0.0,inf
305,VE078,ALM,3,Response,0.2,0.0,inf
306,VE078,ALM,3,Post,0.75,0.0,inf
307,VE078,ALM,3,Control,0.7746478873239436,0.05714285714285714,2.333461014403865
308,VE078,ALM,3,Stim,0.5555555555555556,0.25,0.814200049077944
309,VE078,ALM,3,Pre,0.5,0.2,0.8416212335729143
310,VE078,ALM,4,Response,0.5714285714285714,0.0,inf
311,VE078,ALM,4,Post,0.0,0.0,
312,VE078,ALM,4,Control,0.7424242424242424,0.08571428571428572,2.018465229760166
313,VE078,ALM,4,Stim,1.0,0.2222222222222222,inf
314,VE078,ALM,4,Pre,0.875,0.25,1.8248391305720901
315,VE078,tjM1,1,Response,0.2857142857142857,0.05263157894736842,1.0539074367054067
316,VE078,tjM1,1,Post,0.3076923076923077,0.0,inf
317,VE078,tjM1,1,Control,0.7,0.12857142857142856,1.6575705429676006
318,VE078,tjM1,1,Stim,0.38461538461538464,0.18181818181818182,0.6150766364161919
319,VE078,tjM1,1,Pre,0.45454545454545453,0.1111111111111111,1.1064550545259215
320,VE078,tjM1,2,Response,0.0,0.0,
321,VE078,tjM1,2,Post,0.5,0.1,1.2815515655446006
322,VE078,tjM1,2,Control,0.7307692307692307,0.029411764705882353,2.5046510649294036
323,VE078,tjM1,2,Stim,0.3333333333333333,0.1111111111111111,0.7899130495518922
324,VE078,tjM1,2,Pre,0.4,0.1,1.0282044624088007
325,VE078,tjM1,3,Response,0.5,0.0,inf
326,VE078,tjM1,3,Post,0.4,0.0,inf
327,VE078,tjM1,3,Control,0.7346938775510204,0.1206896551724138,1.7986178589664437
328,VE078,tjM1,3,Stim,0.6,0.16666666666666666,1.220768669237501
329,VE078,tjM1,3,Pre,0.7777777777777778,0.2857142857142857,1.3306584957192502
330,VE078,tjM1,4,Response,0.5,0.0,inf
331,VE078,tjM1,4,Post,0.42857142857142855,0.125,0.9703370105833032
332,VE078,tjM1,4,Control,0.5932203389830508,0.11428571428571428,1.4398837460377933
333,VE078,tjM1,4,Stim,0.3333333333333333,0.125,0.7196220810805507
334,VE078,tjM1,4,Pre,0.8333333333333334,0.1111111111111111,2.188061914949051
335,VE083,wS1,1,Response,0.5555555555555556,0.0,inf
336,VE083,wS1,1,Post,0.6666666666666666,0.1111111111111111,1.6513676481428072
337,VE083,wS1,1,Control,0.6666666666666666,0.07246376811594203,1.8884117630769826
338,VE083,wS1,1,Stim,0.4444444444444444,0.1111111111111111,1.0809300499654877
339,VE083,wS1,1,Pre,0.2222222222222222,0.0,inf
340,VE083,wS1,2,Response,0.5555555555555556,0.125,1.2900596792578705
341,VE083,wS1,2,Post,0.5555555555555556,0.25,0.814200049077944
342,VE083,wS1,2,Control,0.7258064516129032,0.19696969696969696,1.4526738102645396
343,VE083,wS1,2,Stim,0.25,0.0,inf
344,VE083,wS1,2,Pre,0.25,0.1111111111111111,0.546150598651268
345,VE083,wS1,3,Response,0.625,0.5,0.3186393639643752
346,VE083,wS1,3,Post,0.6,0.3333333333333333,0.6840744024312574
347,VE083,wS1,3,Control,0.7169811320754716,0.12280701754385964,1.7349651773298747
348,VE083,wS1,3,Stim,0.2857142857142857,0.2857142857142857,0.0
349,VE083,wS1,3,Pre,0.5555555555555556,0.2857142857142857,0.7056591208147253
350,VE083,wS2,1,Response,0.6666666666666666,0.07692307692307693,1.8568041715683048
351,VE083,wS2,1,Post,0.6666666666666666,0.18181818181818182,1.3391851678328426
352,VE083,wS2,1,Control,0.7402597402597403,0.2247191011235955,1.4004983373583375
353,VE083,wS2,1,Stim,0.3,0.2,0.3172207208648734
354,VE083,wS2,1,Pre,0.6,0.21428571428571427,1.0449857108791745
355,VE083,wS2,2,Response,0.7142857142857143,0.14285714285714285,1.6335193458110049
356,VE083,wS2,2,Post,0.5833333333333334,0.0,inf
357,VE083,wS2,2,Control,0.6434782608695652,0.13043478260869565,1.4921099238249624
358,VE083,wS2,2,Stim,0.1875,0.06666666666666667,0.6139393870251487
359,VE083,wS2,2,Pre,0.6666666666666666,0.13333333333333333,1.541498915932243
360,VE083,wS2,3,Response,0.625,0.14285714285714285,1.386209887842517
361,VE083,wS2,3,Post,0.7777777777777778,0.42857142857142855,0.9447220435790923
362,VE083,wS2,3,Control,0.7419354838709677,0.3076923076923077,1.1517261365598213
363,VE083,wS2,3,Stim,0.125,0.25,-0.4758596301799265
364,VE083,wS2,3,Pre,0.7142857142857143,0.2857142857142857,1.1318976438657262
365,VE083,wM1,1,Response,0.3333333333333333,0.09090909090909091,0.9044504368234791
366,VE083,wM1,1,Post,0.4,0.09090909090909091,1.081830632983137
367,VE083,wM1,1,Control,0.5795454545454546,0.24731182795698925,0.8837041718516446
368,VE083,wM1,1,Stim,0.25,0.2727272727272727,-0.06990440361284467
369,VE083,wM1,1,Pre,0.6666666666666666,0.18181818181818182,1.3391851678328426
370,VE083,wM1,2,Response,0.125,0.0,inf
371,VE083,wM1,2,Post,0.625,0.7142857142857143,-0.2473094579684879
